Date (DD/MM/YYYY),NAV
08/03/2013,11.3588
11/03/2013,11.3519
12/03/2013,11.2980
13/03/2013,11.1783
14/03/2013,11.2880
15/03/2013,11.2190
18/03/2013,11.1513
19/03/2013,10.9813
20/03/2013,10.8834
21/03/2013,10.8162
22/03/2013,10.8063
25/03/2013,10.7732
26/03/2013,10.7876
28/03/2013,10.8650
02/04/2013,10.9837
03/04/2013,10.8440
04/04/2013,10.6607
05/04/2013,10.6200
08/04/2013,10.6002
09/04/2013,10.5089
10/04/2013,10.6299
12/04/2013,10.5724
15/04/2013,10.6477
16/04/2013,10.8771
17/04/2013,10.8765
18/04/2013,11.0563
22/04/2013,11.1516
23/04/2013,11.1571
25/04/2013,11.3086
26/04/2013,11.2230
29/04/2013,11.2851
30/04/2013,11.3348
02/05/2013,11.4665
03/05/2013,11.3608
06/05/2013,11.4120
07/05/2013,11.5505
08/05/2013,11.5996
09/05/2013,11.5629
10/05/2013,11.6568
13/05/2013,11.4381
14/05/2013,11.4664
15/05/2013,11.7552
16/05/2013,11.7992
17/05/2013,11.8323
20/05/2013,11.7740
21/05/2013,11.6922
22/05/2013,11.6547
23/05/2013,11.4122
24/05/2013,11.4435
27/05/2013,11.6328
28/05/2013,11.6927
29/05/2013,11.6793
30/05/2013,11.7383
31/05/2013,11.4925
03/06/2013,11.4034
04/06/2013,11.3654
05/06/2013,11.3739
06/06/2013,11.3736
07/06/2013,11.2960
10/06/2013,11.2896
11/06/2013,11.1199
12/06/2013,11.0651
13/06/2013,10.9596
14/06/2013,11.1679
17/06/2013,11.2484
18/06/2013,11.1793
19/06/2013,11.1954
20/06/2013,10.8776
21/06/2013,10.9007
24/06/2013,10.7514
25/06/2013,10.7890
26/06/2013,10.7491
27/06/2013,10.9378
28/06/2013,11.2419
01/07/2013,11.3520
02/07/2013,11.2728
03/07/2013,11.1062
04/07/2013,11.2371
05/07/2013,11.3001
08/07/2013,11.1935
09/07/2013,11.2843
10/07/2013,11.2094
11/07/2013,11.4329
12/07/2013,11.5748
15/07/2013,11.6206
16/07/2013,11.4785
17/07/2013,11.5134
18/07/2013,11.6430
19/07/2013,11.6309
22/07/2013,11.6351
23/07/2013,11.7221
24/07/2013,11.5544
25/07/2013,11.4049
26/07/2013,11.3601
29/07/2013,11.2589
30/07/2013,11.1131
31/07/2013,11.0979
01/08/2013,11.0676
02/08/2013,10.9759
05/08/2013,10.9902
06/08/2013,10.7277
07/08/2013,10.6863
08/08/2013,10.7759
12/08/2013,10.8641
13/08/2013,11.0383
14/08/2013,11.1273
16/08/2013,10.6865
19/08/2013,10.4931
20/08/2013,10.4615
21/08/2013,10.2614
22/08/2013,10.4739
23/08/2013,10.5889
26/08/2013,10.6000
27/08/2013,10.2484
28/08/2013,10.2411
29/08/2013,10.4828
30/08/2013,10.6003
02/09/2013,10.7486
03/09/2013,10.3523
04/09/2013,10.5629
05/09/2013,10.8373
06/09/2013,11.0127
10/09/2013,11.4296
11/09/2013,11.4622
12/09/2013,11.3313
13/09/2013,11.3397
16/09/2013,11.3247
17/09/2013,11.3419
18/09/2013,11.4372
19/09/2013,11.8515
20/09/2013,11.6550
23/09/2013,11.4228
24/09/2013,11.4247
25/09/2013,11.3982
26/09/2013,11.4087
27/09/2013,11.3183
30/09/2013,11.1356
01/10/2013,11.2182
03/10/2013,11.4678
04/10/2013,11.4630
07/10/2013,11.4634
08/10/2013,11.5109
09/10/2013,11.6605
10/10/2013,11.6898
11/10/2013,11.8361
14/10/2013,11.8675
15/10/2013,11.8277
17/10/2013,11.7497
18/10/2013,12.0263
21/10/2013,12.0706
22/10/2013,12.0714
23/10/2013,12.0175
24/10/2013,11.9936
25/10/2013,11.9559
28/10/2013,11.8704
29/10/2013,12.0976
30/10/2013,12.1645
31/10/2013,12.2511
01/11/2013,12.2609
05/11/2013,12.1519
06/11/2013,12.0908
07/11/2013,12.0408
08/11/2013,11.9575
11/11/2013,11.8340
12/11/2013,11.7251
13/11/2013,11.6666
14/11/2013,11.8017
18/11/2013,12.0521
19/11/2013,12.0846
20/11/2013,11.9302
21/11/2013,11.6953
22/11/2013,11.6948
25/11/2013,11.9108
26/11/2013,11.8064
27/11/2013,11.8003
28/11/2013,11.8731
29/11/2013,12.0308
02/12/2013,12.1199
03/12/2013,12.0873
04/12/2013,12.0086
05/12/2013,12.1589
06/12/2013,12.1969
09/12/2013,12.4007
10/12/2013,12.3531
11/12/2013,12.2999
12/12/2013,12.1585
13/12/2013,12.0359
16/12/2013,12.0153
17/12/2013,12.0087
18/12/2013,12.1594
19/12/2013,12.0857
20/12/2013,12.2881
23/12/2013,12.3091
24/12/2013,12.2791
26/12/2013,12.2993
