Date (MM/DD/YYYY),NAV
02/05/2018,10.1331
02/02/2018,10.1437
02/01/2018,10.1343
01/31/2018,10.2324
01/30/2018,10.2302
01/25/2018,10.2873
01/24/2018,10.2969
01/23/2018,10.3111
01/22/2018,10.2795
01/19/2018,10.2675
01/18/2018,10.2611
01/17/2018,10.2938
01/16/2018,10.2184
01/15/2018,10.2832
01/12/2018,10.2851
01/11/2018,10.278
01/10/2018,10.2821
01/09/2018,10.3266
01/09/2018,10.3266
01/09/2018,10.2317
01/08/2018,10.3387
01/05/2018,10.3576
01/04/2018,10.2996
01/03/2018,10.3063
01/02/2018,10.2845
01/01/2018,10.3051
12/30/2017,10.3959
12/29/2017,10.2954
12/28/2017,10.2512
12/27/2017,10.3565
12/26/2017,10.3346
12/22/2017,10.3318
12/21/2017,10.361
12/20/2017,10.3627
12/19/2017,10.3776
12/18/2017,10.3731
12/15/2017,10.386
12/14/2017,10.383
12/14/2017,10.383
12/13/2017,10.3543
12/12/2017,10.3481
12/11/2017,10.3539
12/08/2017,10.3962
12/07/2017,10.429
12/06/2017,10.4335
12/05/2017,10.4123
12/04/2017,10.3948
11/29/2017,10.4144
11/28/2017,10.4097
11/27/2017,10.3992
11/24/2017,10.4147
11/23/2017,10.4167
11/22/2017,10.4262
11/21/2017,10.4719
11/20/2017,10.4803
11/17/2017,10.3697
11/16/2017,10.3875
11/15/2017,10.4065
11/14/2017,10.3986
11/13/2017,10.4341
11/10/2017,10.434
11/09/2017,10.4655
11/08/2017,10.4594
11/07/2017,10.4673
11/06/2017,10.4773
11/03/2017,10.4914
11/02/2017,10.476
11/01/2017,10.4566
10/31/2017,10.4604
10/30/2017,10.4371
10/27/2017,10.475
10/26/2017,10.469
10/25/2017,10.4513
10/24/2017,10.4683
10/23/2017,10.4489
10/18/2017,10.4773
10/17/2017,10.464
10/16/2017,10.4877
10/13/2017,10.4656
10/12/2017,10.4448
10/11/2017,10.4434
10/10/2017,10.4135
10/09/2017,10.3896
10/06/2017,10.4076
10/05/2017,10.4304
10/04/2017,10.4765
09/29/2017,10.4779
09/28/2017,10.4802
09/27/2017,10.4721
09/26/2017,10.4793
09/25/2017,10.5235
09/22/2017,10.4836
09/21/2017,10.4709
09/20/2017,10.5372
09/19/2017,10.5247
09/18/2017,10.5189
09/15/2017,10.5302
09/14/2017,10.5511
09/13/2017,10.556
09/12/2017,10.5795
09/11/2017,10.5821
09/08/2017,10.5832
09/07/2017,10.5924
09/06/2017,10.5998
09/05/2017,10.5939
09/04/2017,10.5926
09/01/2017,10.5975
08/31/2017,10.5564
08/30/2017,10.5574
08/29/2017,10.5649
08/28/2017,10.5315
08/24/2017,10.5399
08/23/2017,10.5392
08/22/2017,10.529
08/21/2017,10.5331
08/18/2017,10.5334
08/16/2017,10.5249
08/14/2017,10.53
08/11/2017,10.5345
08/10/2017,10.5372
08/09/2017,10.5547
08/08/2017,10.5597
08/07/2017,10.561
08/04/2017,10.5789
08/03/2017,10.5882
08/02/2017,10.5508
08/01/2017,10.5659
07/31/2017,10.5425
07/28/2017,10.5498
07/27/2017,10.5691
07/26/2017,10.5686
07/25/2017,10.5762
07/24/2017,10.599
07/21/2017,10.5818
07/20/2017,10.5393
07/19/2017,10.5173
07/18/2017,10.5173
07/17/2017,10.5087
07/14/2017,10.4985
07/13/2017,10.5199
07/12/2017,10.5044
07/11/2017,10.4917
07/10/2017,10.5218
07/07/2017,10.4451
07/06/2017,10.4158
07/05/2017,10.4005
07/04/2017,10.3997
06/30/2017,10.4565
06/29/2017,10.4648
06/28/2017,10.4623
06/27/2017,10.5073
06/25/2017,10.5291
06/23/2017,10.5084
06/22/2017,10.5178
06/20/2017,10.524
06/19/2017,10.5104
06/16/2017,10.48
06/15/2017,10.4797
06/14/2017,10.4848
06/13/2017,10.4673
06/12/2017,10.4539
06/09/2017,10.4679
06/08/2017,10.4408
06/07/2017,10.3647
06/06/2017,10.2478
06/05/2017,10.2256
06/02/2017,10.214
06/01/2017,10.2119
05/31/2017,10.1619
05/30/2017,10.16
05/29/2017,10.1659
05/26/2017,10.1612
05/25/2017,10.1526
05/24/2017,10.1375
05/23/2017,10.1366
05/22/2017,10.1347
05/18/2017,10.0128
05/17/2017,10.0108
05/16/2017,10.009
05/15/2017,10.0072
05/12/2017,10.0018
05/11/2017,10
05/09/2017,10
05/05/2017,10
07/15/2016,13.65
07/14/2016,14.32
07/13/2016,14.33
07/12/2016,13.543
